"","V1"
"Social impact assessment and stakeholder engagement in the Russian Federation: Representativeness, deliberativeness and influence",5
"Outsourcing participatory democracy: Critical reflections on the participatory budgeting experiences in Taiwan",3
"A typology of coproduction: Emphasizing shared power",5
"Community engagement and professionalization: Emerging tensions",2
"The Audience-Centred Approach to Media Policymaking: A Critical Analysis of the South African Press Freedom Commission as a Participatory Process of Review",5
"Participatory processes as democracy makers. Exploring effects, mechanisms and evidences in civil society [Los procesos participativos como potenciadores de la democracia. Explorando los efectos, mecanismos y evidencias en la sociedad civil]",3
"The influence of communication- and organization-related factors on interest in participation in campus dialogic deliberation",1
"""Nothing about politics"": The political scope in rural participatory governance, a case-study in the Basque Country, Spain",5
"From parks to partnerships: National heritage areas and the path to collaborative participation in the national park service’s first 100 years",2
"Between grassroots protest and Green politics: The democratic potential of 1970s antinuclear activism",1
"The European citizens' initiative in practice: Legal admissibility concerns",5
"Towards participatory democracy, or not: The reasonableness approach in public involvement cases",5
"Institutional designs and power (im)balances: Institutions of citizen's participation in dispute [Diseños institucionales y (des)equilibrios de poder: Las instituciones de participación ciudadana en disputa]",5
"Subaltern empowerment in the geoweb: Tensions between publicity and privacy",3
"Substantive Participation: A Model of Public Participation that Works for Citizens and Administrators",2
"Education, outreach, and inclusive engagement: Towards integrated indicators of successful program outcomes in participatory science",2
"Factors affecting support for puget sound marine protected areas",2
"Can the demos make a difference? Prospects for participatory democracy in shaping the future course of US space exploration",3
"Participatory democracy meets the hard rock of energy policy: South Africa's national integrated resource plan",4
"Representations of culture in theater of the oppressed and participatory budgeting in Brazil",3
"Climate ethics: Structuring deliberation by means of logical argument mapping",2
"Strengthening women's participation in local governance: Lessons and strategies",5
"Involving the Finnish public in nuclear facility licensing: Participatory democracy and industrial bias",2
"Public Participation in post-fordist urban green space governance: The case of community gardens in Berlin",3
"Ten years of community visioning in New Hampshire: The meaning of ""success""",3
"Public participation in China's EIA regime: Rhetoric or reality?",5
"Public participation in British Columbia forest management",2
"The democratic role of campaign journalism: Partisan representation and public participation",5
"Toward structured public involvement: Justice, geography and collaborative geospatial/geovisual decision support systems",4
"Deliberatie transnationalism - Transnational governance, public participation and expert deliberation",2
"Action planning to improve issues of effectiveness, representation and scale in public participation: A conference report",4
"Decentralization, quality governance and capacity-building in Namibia",2
"Public participation and administrative rule of law",5
"Implementing participatory decision making in forest planning",2
"John Stuart Mill, individuality, and participatory democracy",4
"Participation and planning: Dichotomies, rationalities and strategies for power",4
"Involving the Public in spatial decision-making using Internet GIS",2
"Parents, power and public participation: Sure Start, an experiment in new labour governance",2
"The benefits of combining lay and expert input for water-management planning at the watershed level",2
"The Dewey-Lippmann debate today: Communication distortions, reflective agency, and participatory democracy",4
"Procedural fairness and public participation in planning",5
"The Aarhus convention and access to justice",5
"Assessing the Effects of Public Participation",2
"The Aarhus Convention",5
"Effective public participation in the preparation of policies and legislation",5
"A critical examination of the democratic transition in South Africa: The question of public participation",5
"The Aarhus Convention and its implications for the 'institutions' of the European Community",5
"An evaluation of three democratic, community-based approaches to citizen participation: Surveys, conversations with community groups, and community dinners",2
"Education and training of transportation engineers and planners vis-à-vis public involvement",4
"Theory in practice: Applying participatory democracy theory to public land planning",2
"Viewpoint: Implications of participatory democracy for public land planning",2
"Education and training of transportation engineers and planners vis-a-vis public involvement",4
"An approach to public participation in strategic forest management planning",4
"PUBLIC PARTICIPATION IN WATERSHED MANAGEMENT: COMBINING NOMINAL GROUP PROCESS AND MICROCOMPUTERS",5
